40 20 3
0 1 1.5 2.0
0 2 2.8 1.8
0 3 3.5 2.5
0 4 4.2 3.2
0 5 5.8 4.5
1 6 2.1 1.5
1 7 3.2 2.3
1 8 4.5 3.5
2 9 2.5 1.8
2 10 3.8 2.8
2 11 4.9 3.9
3 12 1.9 1.2
3 13 3.1 2.1
3 14 4.3 3.3
4 15 2.8 2.0
4 16 3.9 2.9
4 17 5.2 4.2
5 18 3.5 2.5
5 19 4.8 3.8
5 20 6.1 5.1
6 21 1.8 1.1
6 22 3.0 2.0
6 23 4.2 3.2
7 24 2.2 1.5
7 25 3.5 2.5
7 26 4.8 3.8
8 27 2.9 2.1
8 28 4.1 3.1
8 29 5.3 4.3
9 30 2.5 1.8
9 31 3.8 2.8
9 32 5.0 4.0
10 33 1.9 1.2
10 34 3.1 2.1
10 35 4.3 3.3
11 36 2.8 2.0
11 37 3.9 2.9
11 38 5.2 4.2
12 39 3.5 2.5
12 40 4.8 3.8
12 41 6.1 5.1
13 42 2.1 1.5
13 43 3.2 2.3
13 44 4.5 3.5
14 45 2.5 1.8
14 46 3.8 2.8
14 47 4.9 3.9
15 48 1.9 1.2
15 49 3.1 2.1
1 2 2.3 1.8
2 3 3.1 2.5
3 4 2.8 2.1
4 5 3.5 2.8
5 6 4.2 3.2
6 7 2.9 2.0
7 8 3.8 2.8
8 9 3.2 2.3
9 10 2.7 1.9
10 11 3.5 2.5
11 12 4.1 3.1
12 13 3.8 2.8
13 14 2.9 2.0
14 15 3.6 2.6
0 20 8.5 6.5
5 25 7.2 5.8
10 30 6.8 5.2
15 35 5.9 4.5
20 40 9.1 7.2
25 45 8.3 6.5
30 49 7.5 5.8
35 0 6.8 5.2
40 5 7.9 6.1
45 10 8.5 6.8
